assembly_accession	organism_name	species_taxid	refseq_category
GCF_003429505.1	Leptospira mayottensis	1137606	representative genome
GCF_002954685.1	Polaribacter porphyrae	1137780	representative genome
GCF_000722635.1	Endozoicomonas numazuensis	1137799	representative genome
GCF_000246895.1	Clostridium arbusti SL206	1137848	representative genome
GCF_003002915.1	Geodermatophilus tzadiensis	1137988	representative genome
GCF_003182485.1	Geodermatophilus normandii	1137989	representative genome
GCF_900103785.1	Geodermatophilus siccatus	1137991	representative genome
GCF_900107105.1	Geodermatophilus africanus	1137993	representative genome
GCF_900188205.1	Geodermatophilus saharensis	1137994	representative genome
GCF_900094625.1	Rhizobium aethiopicum	1138170	representative genome
GCF_001662125.1	Rhizobium bangladeshense	1138189	representative genome
GCF_000276825.1	Mycobacterium paraintracellulare	1138383	representative genome
GCF_002797595.1	Sediminihabitans luteus	1138585	representative genome
GCF_000785105.2	Lactobacillus curieae	1138822	representative genome
GCF_900103755.1	Chryseobacterium taihuense	1141221	representative genome
GCF_001618405.1	Nocardia arizonensis	1141647	representative genome
GCF_001613425.1	Nocardia vulneris	1141657	representative genome
GCF_003626535.1	Streptomyces hoynatensis	1141874	representative genome
GCF_001941825.1	Massilia putida	1141883	representative genome
GCF_002288825.1	Sphingomonas lenta	1141887	representative genome
GCF_002351485.1	Sphingomonas spermidinifaciens	1141889	representative genome
GCF_900199185.1	Sphingomonas guangdongensis	1141890	representative genome
GCF_013266765.1	Paenibacillus frigoriresistens	1143711	representative genome
GCF_002087335.1	Pseudophaeobacter leonis	1144477	representative genome
GCF_002087295.1	Halomonas lionensis	1144478	representative genome
GCF_900109115.1	Xiangella phaseoli	1144548	representative genome
GCF_900108335.1	Nonomuraea solani	1144553	representative genome
GCF_003002095.1	Allonocardiopsis opalescens	1144618	representative genome
GCF_001708405.1	Kangiella sediminilitoris	1144748	representative genome
GCF_900114005.1	Olleya namhaensis	1144750	representative genome
GCF_004363805.1	Paludibacterium purpuratum	1144873	representative genome
GCF_003610355.1	Sphingobacterium detergens	1145106	representative genome
GCF_000600105.1	Lysinibacillus varians	1145276	representative genome
GCF_900167605.1	Caloramator quimbayensis	1147123	representative genome
GCF_000190475.1	Ornithinibacillus scapharcae TW25	1147159	representative genome
GCF_000236785.1	Achromobacter arsenitoxydans SY8	1147684	representative genome
GCF_000196795.1	Acinetobacter oleivorans DR1	1148157	representative genome
GCF_900105155.1	Pseudomonas prosekii	1148509	representative genome
GCF_000171235.2	Geminisphaera colitermitum TAV2	1148786	representative genome
GCF_002355475.1	Pseudomonas furukawaii	1149133	representative genome
GCF_003010935.1	Phyllobacterium endophyticum	1149773	representative genome
GCF_900114085.1	Myroides guanonis	1150112	representative genome
GCF_000299035.1	Bacillus bingmayongensis	1150157	representative genome
GCF_001405555.1	Fusicatenibacter saccharivorans	1150298	representative genome
GCF_900119185.1	Sinomicrobium oceani	1150368	representative genome
GCF_000235625.1	Marinobacter manganoxydans MnI7-9	1150997	representative genome
GCF_009933255.1	Enterococcus diestrammenae	1155073	representative genome
GCF_003605195.1	Erythrobacter odishensis	1155476	representative genome
GCF_900129035.1	Psychroflexus salarius	1155689	representative genome
GCF_900142765.1	Roseovarius litoreus	1155722	representative genome
GCF_001767235.1	Moorea producens PAL-8-15-08-1	1155739	representative genome
GCF_900116235.1	Marininema halotolerans	1155944	representative genome
GCF_000520815.1	Paenibacillus maysiensis	1155954	representative genome
GCF_003386535.1	Paenibacillus taihuensis	1156355	representative genome
GCF_001687335.1	Dissulfuribacter thermophilus	1156395	representative genome
GCF_002796795.1	Epibacterium ulvae	1156985	representative genome
GCF_000714935.1	Tumebacillus flagellatus	1157490	representative genome
GCF_002006755.1	Wohlfahrtiimonas larvae	1157986	representative genome
GCF_001683395.1	Kosakonia sacchari	1158459	representative genome
GCF_900108395.1	Flavobacterium marinum	1159016	representative genome
GCF_900104245.1	Idiomarina indica	1159017	representative genome
GCF_002950575.1	Pontimonas salivibrio	1159327	representative genome
GCF_002259705.1	Alloscardovia macacae	1160091	representative genome
GCF_003987595.1	Vagococcus entomophilus	1160095	representative genome
GCF_000723465.1	Ruminococcus bicirculans	1160721	representative genome
GCF_002155685.1	Porphyrobacter colymbi	1161202	representative genome
GCF_000412185.1	Euryhalocaulis caribicus	1161401	representative genome
GCF_000210095.1	Ruminococcus champanellensis 18P13 = JCM 17042	1161942	representative genome
GCF_001559795.1	Streptobacillus hongkongensis	1162717	representative genome
GCF_002797715.1	Diaminobutyricimonas aerilata	1162967	representative genome
GCF_006716125.1	Homoserinimonas aerilata	1162970	representative genome
GCF_003574655.1	Cohaesibacter haloalkalitolerans	1162980	representative genome
GCF_000696345.1	Pseudomonas donghuensis	1163398	representative genome
GCF_000296695.1	Rheinheimera nanhaiensis E407-8	1163621	representative genome
GCF_001277255.1	Cronobacter condimenti 1330	1163710	representative genome
GCF_900112225.1	Massilia yuzhufengensis	1164594	representative genome
GCF_003668565.1	Mycetocola zhadangensis	1164595	representative genome
GCF_000350105.1	Richelia intracellularis HH01	1164990	representative genome
GCF_000260835.1	Imtechella halotolerans K1	1165090	representative genome
GCF_900103325.1	Mesorhizobium qingshengii	1165689	representative genome
GCF_003182375.1	Melaminivora alkalimesophila	1165852	representative genome
GCF_900104035.1	Aureimonas jatrophae	1166073	representative genome
GCF_900113065.1	Aureimonas phyllosphaerae	1166078	representative genome
GCF_900114935.1	Pleomorphomonas diazotrophica	1166257	representative genome
GCF_900102275.1	Sphingomonas carotinifaciens	1166323	representative genome
GCF_900113315.1	Sphingomonas jatrophae	1166337	representative genome
GCF_011440395.1	Pseudomaricurvus alcaniphilus	1166482	representative genome
GCF_000759345.1	Halomonas xinjiangensis	1166948	representative genome
GCF_000258765.1	Gillisia marina	1167637	representative genome
GCF_000626635.1	Draconibacterium orientale	1168034	representative genome
GCF_900141875.1	Tangfeifania diversioriginum	1168035	representative genome
GCF_900182605.1	Saccharicrinis carchari	1168039	representative genome
GCF_004137245.1	Nocardioides glacieisoli	1168730	representative genome
GCF_000388175.3	Holospora undulata HU1	1169117	representative genome
GCF_007923255.1	Vulcaniibacterium thermophilum	1169913	representative genome
GCF_000445475.1	Sulfurimonas hongkongensis	1172190	representative genome
GCF_000281085.1	Catenovulum agarivorans YM01	1172192	representative genome
GCF_003730055.1	Lonsdalea populi	1172565	representative genome
GCF_006265175.1	Paenibacillus hemerocallicola	1172614	representative genome
GCF_001625325.1	Altererythrobacter estronivorus	1172626	representative genome
GCF_000317145.1	Chamaesiphon minutus PCC 6605	1173032	representative genome
GCF_003056345.1	Devosia submarina	1173082	representative genome
GCF_005217585.1	Lysinibacillus tabacifolii	1173107	representative genome
GCF_900110165.1	Lihuaxuella thermophila	1173111	representative genome
GCF_900109955.1	Aliiroseovarius sediminilitoris	1173584	representative genome
GCF_013032855.1	Ruegeria arenilitoris	1173585	representative genome
GCF_900099765.1	Paenibacillus typhae	1174501	representative genome
GCF_000246925.1	Peptoniphilus rhinitidis 1-13	1175452	representative genome
GCF_006716315.1	Nocardioides albertanoniae	1175486	representative genome
GCF_007992175.1	Methylobacterium haplocladii	1176176	representative genome
GCF_013364095.1	Streptomyces harbinensis	1176198	representative genome
GCF_013415115.1	Halomonas zhaodongensis	1176240	representative genome
GCF_003002925.1	Halomonas songnenensis	1176243	representative genome
GCF_003696365.1	Pseudomonas zhaodongensis	1176257	representative genome
GCF_003696315.1	Pseudomonas songnenensis	1176259	representative genome
GCF_000242915.1	Sulfurimonas gotlandica GD1	1176482	representative genome
GCF_007954425.1	Novosphingobium ginsenosidimutans	1176536	representative genome
GCF_007995055.1	Sphingosinicella ginsenosidimutans	1176539	representative genome
GCF_001654455.1	Niabella ginsenosidivorans	1176587	representative genome
GCF_003014655.1	Planomicrobium soli	1176648	representative genome
GCF_900100235.1	Agrobacterium fabrum	1176649	representative genome
GCF_000756665.1	Alcanivorax nanhaiticus	1177154	representative genome
GCF_002849795.1	Prevotella jejuni	1177574	representative genome
GCF_000182745.2	Komagataeibacter medellinensis NBRC 3288	1177712	representative genome
GCF_001708935.1	Methyloligella halotolerans	1177755	representative genome
GCF_900113035.1	Acidovorax wautersii	1177982	representative genome
GCF_001431725.1	Halomonas huangheensis	1178482	representative genome
GCF_001644605.1	Paenibacillus swuensis	1178515	representative genome
GCF_001988955.1	Spirosoma montaniterrae	1178516	representative genome
GCF_001857925.1	Bacillus xiamenensis	1178537	representative genome
GCF_000715205.1	Bacillus zhangzhouensis	1178540	representative genome
GCF_000731955.1	Halomonas zincidurans B6	1178777	representative genome
GCF_002269385.1	Maribacter cobaltidurans	1178778	representative genome
GCF_900141715.1	Arenitalea lutea	1178825	representative genome
GCF_004341825.1	Hazenella coriacea	1179467	representative genome
GCF_002846395.1	Pontibacter ramchanderi	1179743	representative genome
GCF_000327395.1	Mycoplasma feriruminatoris	1179777	representative genome
GCF_013376135.1	Endobacter medicaginis	1181271	representative genome
GCF_007994135.1	Modestobacter roseus	1181884	representative genome
GCF_007829955.1	Saccharopolyspora dendranthemae	1181886	representative genome
GCF_001644565.1	Deinococcus puniceus	1182568	representative genome
GCF_000800395.1	Deinococcus swuensis	1182571	representative genome
GCF_000246945.1	Myroides injenensis M09-0166	1183151	representative genome
GCF_900013505.1	Agrobacterium deltaense RV3	1183412	representative genome
GCF_900012565.1	Agrobacterium salinitolerans str. Hayward 0363	1183413	representative genome
GCF_000147715.2	Mesotoga prima MesG1.Ag.4.2	1184387	representative genome
GCF_003985145.1	Rhizobium anhuiense	1184720	representative genome
GCF_003313305.1	Vallitalea guaymasensis	1185412	representative genome
GCF_002210435.1	Micromonospora wenchangensis	1185415	representative genome
GCF_900115035.1	Thioclava dalianensis	1185766	representative genome
GCF_001293685.1	Desulfatitalea tepidiphila	1185843	representative genome
GCF_002916695.1	Alkalispirochaeta sphaeroplastigenens	1187066	representative genome
GCF_004216715.1	Cecembia calidifontis	1187080	representative genome
GCF_001043955.1	Methylobacterium tarhaniae	1187852	representative genome
GCF_001870225.1	Gloeomargarita lithophora Alchichica-D10	1188228	representative genome
GCF_000974685.2	Ferriphaselus amnicola	1188319	representative genome
GCF_003003375.1	Paraburkholderia eburnea	1189126	representative genome
GCF_900111545.1	Oceanicella actignis	1189325	representative genome
GCF_000452745.2	Pseudomonas asturiensis	1190415	representative genome
GCF_900102745.1	Geodermatophilus telluris	1190417	representative genome
GCF_001550135.1	Pseudoalteromonas shioyasakiensis	1190813	representative genome
GCF_902153245.1	Rhizobium endolithicum	1191678	representative genome
GCF_000331575.1	Bacillus oryziterrae	1191699	representative genome
GCF_000829395.1	Lactobacillus hokkaidonensis JCM 18461	1193095	representative genome
GCF_004770995.1	Leptospira idonii	1193500	representative genome
GCF_001940455.1	Actinokineospora bangkokensis	1193682	representative genome
GCF_001636315.1	Neobacillus mesonae	1193713	representative genome
GCF_001642695.1	Streptomyces chilikensis	1194079	representative genome
GCF_900129315.1	Aliifodinibius roseus	1194090	representative genome
GCF_005938655.1	Alcanivorax gelatiniphagus	1194167	representative genome
GCF_902829245.1	Comamonas jiangduensis	1194168	representative genome
GCF_900089765.1	Vibrio toranzoniae	1194427	representative genome
GCF_900130035.1	Wenyingzhuangia marina	1195760	representative genome
GCF_001029445.1	Photobacterium aquae	1195763	representative genome
GCF_002283365.1	Rubrivirga marina	1196024	representative genome
GCF_002019415.1	Snodgrassella alvi	1196083	representative genome
GCF_001693435.1	Gilliamella apicola	1196095	representative genome
GCF_900103455.1	Streptomyces wuyuanensis	1196353	representative genome
GCF_013204855.1	Paenibacillus alba	1197127	representative genome
GCF_000733475.1	Mangrovimonas yunxiaonensis	1197477	representative genome
GCF_001701045.1	Cloacibacillus porcorum	1197717	representative genome
GCF_900182695.1	Paracoccus laeviglucosivorans	1197861	representative genome
GCF_001020565.1	Maribacter thermophilus	1197874	representative genome
GCF_003337715.1	Ciceribacter lividus	1197950	representative genome
GCF_900156065.1	Micromonospora avicenniae	1198245	representative genome
GCF_900104265.1	Pseudomonas guguanensis	1198456	representative genome
GCF_902859935.1	Paraburkholderia fynbosensis	1200993	representative genome
GCF_013449715.1	Pectobacterium aroidearum	1201031	representative genome
GCF_000740055.1	Lactobacillus oryzae JCM 18671	1202668	representative genome
GCF_003217295.1	Lysinibacillus chungkukjangi	1202712	representative genome
GCF_011290505.1	Paenalcaligenes suwonensis	1202713	representative genome
GCF_000636015.1	Rhodomicrobium udaipurense JA643	1202716	representative genome
GCF_001278115.1	Flavobacterium akiainvivens	1202724	representative genome
GCF_000296835.1	Lactobacillus hominis DSM 23910 = CRBIP 24.179	1203033	representative genome
GCF_001436575.1	Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85	1203069	representative genome
GCF_002906255.1	Komagataeibacter maltaceti	1203393	representative genome
GCF_000022265.1	Geobacter daltonii FRC-32	1203471	representative genome
GCF_006569185.1	Litorilinea aerophila	1204385	representative genome
GCF_900129455.1	Jatrophihabitans endophyticus	1206085	representative genome
GCF_002760615.1	Puniceibacterium antarcticum	1206336	representative genome
GCF_000297255.1	Nitrolancea hollandica Lb	1206749	representative genome
GCF_004364165.1	Maribacter spongiicola	1206753	representative genome
GCF_003634105.1	Maribacter vaceletii	1206816	representative genome
GCF_000299915.1	Gallaecimonas xiamenensis 3-C-1	1207039	representative genome
GCF_000299895.1	Idiomarina xiamenensis 10-D-4	1207041	representative genome
GCF_013423955.1	Ottowia beijingensis	1207057	representative genome
GCF_001532085.1	Burkholderia pseudomultivorans	1207504	representative genome
GCF_000508165.1	Marinomonas profundimaris	1208321	representative genome
GCF_000819565.1	Celeribacter indicus	1208324	representative genome
GCF_000504145.1	Bacillus cihuensis	1208599	representative genome
GCF_002075285.3	Halomicronema hongdechloris C2206	1209493	representative genome
GCF_003289945.1	Mesorhizobium hawassense	1209954	representative genome
GCF_901538265.1	Gemmata massiliana	1210884	representative genome
GCF_004912165.1	Rhizobium ipomoeae	1210932	representative genome
GCF_005774765.1	Deinococcus metallilatus	1211322	representative genome
GCF_002056795.1	Spirosoma aerolatum	1211326	representative genome
GCF_004402975.1	Paraburkholderia dipogonis	1211383	representative genome
GCF_002813245.1	Novosphingobium kunmingense	1211806	representative genome
GCF_013409135.1	Pseudomonas kunmingensis	1211807	representative genome
GCF_000566685.1	Dyadobacter tibetensis Y620-1	1211851	representative genome
GCF_007992455.1	Microbacterium saccharophilum	1213358	representative genome
GCF_004345645.1	Actinocrispum wychmicini	1213861	representative genome
GCF_013283665.1	Ensifer sesbaniae	1214071	representative genome
GCF_900182555.1	Aliifodinibius sediminis	1214077	representative genome
GCF_002243515.1	Tumebacillus algifaecis	1214604	representative genome
GCF_900188295.1	Paracoccus sediminis	1214787	representative genome
GCF_000744175.1	Thermus tengchongensis YIM 77401	1214928	representative genome
GCF_010975035.1	Neobacillus thermocopriae	1215031	representative genome
GCF_004022265.1	Sinirhodobacter ferrireducens	1215032	representative genome
GCF_001687585.2	Planococcus halocryophilus	1215089	representative genome
GCF_005938195.1	Paenibacillus thermoaerophilus	1215385	representative genome
GCF_006716565.1	Nocardia bhagyanarayanae	1215925	representative genome
GCF_000306965.1	Amphibacillus jilinensis Y1	1216008	representative genome
GCF_013376155.1	Nguyenibacter vanlangensis	1216886	representative genome
GCF_000577895.1	Clostridium bornimense	1216932	representative genome
GCF_001466665.1	Dehalogenimonas alkenigignens	1217799	representative genome
GCF_000155675.2	Octadecabacter antarcticus 307	1217908	representative genome
GCF_002954765.1	Nonlabens arenilitoris	1217969	representative genome
GCF_900142295.1	Oceanicola litoreus	1217970	representative genome
GCF_000182725.1	Brucella inopinata BO1	1218315	representative genome
GCF_000970795.1	Lactobacillus mellifer	1218492	representative genome
GCF_003151025.1	Lactobacillus kullabergensis	1218493	representative genome
GCF_003173695.1	Lactobacillus helsingborgensis	1218494	representative genome
GCF_001281175.1	Lactobacillus apinorum	1218495	representative genome
GCF_000970755.1	Lactobacillus kimbladii	1218506	representative genome
GCF_013346935.1	Lactobacillus melliventris	1218507	representative genome
GCF_013346925.1	Lactobacillus mellis	1218508	representative genome
GCF_009901525.1	Kordia antarctica	1218801	representative genome
GCF_000488215.1	Acinetobacter nectaris CIP 110549	1219382	representative genome
GCF_900096955.1	Acinetobacter boissieri	1219383	representative genome
GCF_013249065.1	Winogradskyella litoriviva	1220182	representative genome
GCF_900142655.1	Pseudomonas punonensis	1220495	representative genome
GCF_002019595.1	Bacillus abyssalis	1221450	representative genome
GCF_001629705.1	Fictibacillus phosphorivorans	1221500	representative genome
GCF_000812025.2	Quasibacillus thermotolerans	1221996	representative genome
GCF_003999255.1	Caldicellulosiruptor changbaiensis	1222016	representative genome
GCF_000746845.1	Altibacter lentus	1223410	representative genome
GCF_001571025.1	Corynebacterium humireducens NBRC 106098 = DSM 45392	1223514	representative genome
GCF_900116665.1	Pustulibacterium marinum	1224947	representative genome
GCF_900112525.1	Klenkia taihuensis	1225127	representative genome
GCF_001017175.1	Microvirga vignae	1225564	representative genome
GCF_001544515.1	Caballeronia terrestris	1226301	representative genome
GCF_900096895.1	Acinetobacter kookii	1226327	representative genome
GCF_003675955.1	Streptomyces rapamycinicus NRRL 5491	1226757	representative genome
GCF_001639105.2	Azospirillum humicireducens	1226968	representative genome
GCF_900115775.1	Siccationidurans arizonensis	1227077	representative genome
GCF_900109035.1	Cribrihabitans marinus	1227549	representative genome
GCF_004799345.1	Robertkochia marina	1227945	representative genome
GCF_003369565.1	Oceanobacillus chungangensis	1229152	representative genome
GCF_003369575.1	Oceanobacillus arenosus	1229153	representative genome
GCF_900197575.1	Acinetobacter apis	1229165	representative genome
GCF_009649735.1	Salinibacillus xinjiangensis	1229268	representative genome
GCF_000757725.1	Sphingobacterium deserti	1229276	representative genome
GCF_000585235.1	Nitrincola nitratireducens	1229521	representative genome
GCF_005280655.1	Anaerostipes rhamnosivorans	1229621	representative genome
GCF_001969385.1	Salipiger profundus	1229727	representative genome
GCF_001685435.2	Salimicrobium jeotgali	1230341	representative genome
GCF_007992495.1	Reyranella soli	1230389	representative genome
GCF_003610635.1	Ichthyenterobacterium magnum	1230530	representative genome
GCF_000789235.1	Flaviramulus ichthyoenteri Th78	1230531	representative genome
GCF_001941485.1	Corynebacterium frankenforstense DSM 45800	1230998	representative genome
GCF_001274895.1	Corynebacterium lactis RW2-5	1231000	representative genome
GCF_000826185.2	Microbacterium gorillae	1231063	representative genome
GCF_003265965.1	Rhodovulum viride	1231134	representative genome
GCF_000300335.1	Nitratireductor pacificus pht-3B	1231180	representative genome
GCF_000469325.1	Lactobacillus shenzhenensis LY-73	1231337	representative genome
GCF_000403725.1	Corynebacterium ihumii	1232427	representative genome
GCF_000455225.1	Megasphaera massiliensis	1232428	representative genome
GCF_902375145.1	Nesterenkonia massiliensis	1232429	representative genome
GCF_002871345.1	Nosocomiicoccus massiliensis	1232430	representative genome
GCF_902375745.1	Paenibacillus ihuae	1232431	representative genome
GCF_000321165.1	Enorma timonensis	1232436	representative genome
GCF_003966655.1	Acidithiobacillus ferridurans	1232575	representative genome
GCF_000390185.1	Lunatimonas lonarensis	1232681	representative genome
GCF_902153235.1	Rhizobium halotolerans	1233081	representative genome
GCF_000828085.3	Scytonema tolypothrichoides VB-61278	1233230	representative genome
GCF_002211145.1	Pacificimonas flava	1234595	representative genome
GCF_000300815.1	Gayadomonas joobiniege G7	1234606	representative genome
GCF_004785935.1	Streptococcus rubneri	1234680	representative genome
GCF_002257585.1	Mucilaginibacter xinganensis	1234841	representative genome
GCF_008304605.1	Oceanobacillus polygoni	1235259	representative genome
GCF_002119765.1	Pseudorhodoplanes sinuspersici	1235591	representative genome
GCF_900157305.1	Mesotoga infera	1236046	representative genome
GCF_900102685.1	Melghirimyces thermohalophilus	1236220	representative genome
GCF_003259835.1	Flavobacterium aquaticum	1236486	representative genome
GCF_003944765.1	Hymenobacter perfusus	1236770	representative genome
GCF_012034335.1	Bacillus luteus	1237094	representative genome
GCF_000517425.1	Sodalis praecaptivus	1239307	representative genome
GCF_003049645.1	Metasolibacillus fluoroglycofenilyticus	1239396	representative genome
GCF_003208655.1	Pedobacter nutrimenti	1241337	representative genome
GCF_003815975.1	Chryseobacterium bernardetii	1241978	representative genome
GCF_003860585.1	Chryseobacterium carnis	1241979	representative genome
GCF_003815875.1	Chryseobacterium lactis	1241981	representative genome
GCF_900637665.1	Chryseobacterium nakagawai	1241982	representative genome
GCF_003054245.1	Melghirimyces profundicolus	1242148	representative genome
GCF_004365635.1	Litoreibacter halocynthiae	1242689	representative genome
GCF_004181775.1	Ehrlichia minasensis	1242993	representative genome
GCF_900089835.1	Vibrio thalassae	1243014	representative genome
GCF_000513275.1	Paenibacillus gorillae	1243662	representative genome
GCF_000723885.1	Paenibacillus camerounensis	1243663	representative genome
GCF_000380245.2	Bacillus massiliogorillae	1243664	representative genome
GCF_900107415.1	Jannaschia faecimaris	1244108	representative genome
GCF_000559025.1	Luteimonas huabeiensis HB2	1244513	representative genome
GCF_000736415.1	Campylobacter iguaniorum	1244531	representative genome
GCF_000342045.1	Magnetospirillum caucaseum	1244869	representative genome
GCF_004334935.1	Paraburkholderia strydomiana	1245417	representative genome
GCF_001636975.1	Paraburkholderia kirstenboschensis	1245436	representative genome
GCF_900100565.1	Paraburkholderia steynii	1245441	representative genome
GCF_900105885.1	Pseudomonas guangdongensis	1245526	representative genome
GCF_000330725.2	Mariniradius saccharolyticus AK6	1245591	representative genome
GCF_000817735.3	Scytonema millei VB511283	1245922	representative genome
GCF_000341105.1	Nocardiopsis potens DSM 45234	1246458	representative genome
GCF_002207765.1	Calderihabitans maritimus	1246530	representative genome
GCF_900170035.1	Desulfamplus magnetovallimortis	1246637	representative genome
GCF_000760695.4	Tolypothrix bouteillei VB521301	1246981	representative genome
GCF_002289455.1	Calothrix elsteri CCALA 953	1247191	representative genome
GCF_007558815.1	Verticiella sediminum	1247510	representative genome
GCF_003172875.1	Leucothrix pacifica	1247513	representative genome
GCF_001482195.1	Luteimonas abyssi	1247514	representative genome
GCF_900215465.1	Flagellimonas pacifica	1247520	representative genome
GCF_013393325.1	Pseudomonas hunanensis	1247546	representative genome
GCF_900215355.1	Pseudooceanicola antarcticus	1247613	representative genome
GCF_900172335.1	Roseovarius albus	1247867	representative genome
GCF_900019265.1	Paraburkholderia ribeironis	1247936	representative genome
GCF_000733125.1	Parvularcula oceani	1247963	representative genome
GCF_010731795.1	Mycolicibacterium celeriflavum	1249101	representative genome
GCF_001444425.1	Pseudohongiella spirulinae	1249552	representative genome
GCF_002237535.1	Bacterioplanes sanyensis	1249553	representative genome
GCF_003987175.1	Aliidiomarina sanyensis	1249555	representative genome
GCF_000585215.1	Imhoffiella purpurea	1249627	representative genome
GCF_001975705.1	Pelagibaca abyssi	1250539	representative genome
GCF_009765165.1	Lysobacter panacisoli	1255263	representative genome
GCF_002843305.1	Streptomyces barkulensis	1257026	representative genome
GCF_009835145.1	Profundibacterium mesophilum KAUST100406-0324	1258573	representative genome
GCF_002954225.1	Arthrobacter ruber	1258893	representative genome
GCF_004404055.1	Cryobacterium ruanii	1259197	representative genome
GCF_002909375.1	Cryobacterium zongtaii	1259217	representative genome
GCF_004402375.1	Cryobacterium breve	1259258	representative genome
GCF_003002875.1	Arcticibacter pallidicorallinus	1259464	representative genome
GCF_008271745.1	Rufibacter glacialis	1259555	representative genome
GCF_006711645.1	Raoultella electrica	1259973	representative genome
GCF_002102185.1	Mycobacterium fragae	1260918	representative genome
GCF_013409935.1	Streptosporangium sandarakinum	1260955	representative genome
GCF_011516935.1	Acetobacter farinalis	1260984	representative genome
GCF_003610535.1	Mangrovibacterium diazotrophicum	1261403	representative genome
GCF_007828155.1	Brevibacterium jeotgali	1262550	representative genome
GCF_004340875.1	Tamaricihabitans halophyticus	1262583	representative genome
GCF_008693185.1	Acinetobacter qingfengensis	1262585	representative genome
GCF_000307265.1	Oscillibacter ruminantium GH1	1263547	representative genome
GCF_003112995.1	Edwardsiella piscicida	1263550	representative genome
GCF_006783905.1	Microbacterium kyungheense	1263636	representative genome
GCF_000346315.1	Rhodopirellula europaea SH398	1263866	representative genome
GCF_000346505.1	Rhodopirellula sallentina SM41	1263869	representative genome
GCF_003173055.1	Zavarzinia compransoris	1264899	representative genome
GCF_002770595.1	Chryseobacterium camelliae	1265445	representative genome
GCF_000346615.1	Nafulsella turpanensis ZLM-10	1265690	representative genome
GCF_000346295.1	Rhodopirellula maiorica SM1	1265734	representative genome
GCF_003385895.1	Flavobacterium cutihirudinis	1265740	representative genome
GCF_003008425.1	Aurantibacter aestuarii	1266046	representative genome
GCF_000772945.1	Lysinibacillus manganicus DSM 26584	1266064	representative genome
GCF_003003265.1	Glaciihabitans tibetensis	1266600	representative genome
GCF_002995805.1	Moorella stamsii	1266720	representative genome
GCF_004348455.1	Kribbella albertanoniae	1266829	representative genome
GCF_000807275.1	Frischella perrara	1267021	representative genome
GCF_003950295.1	Lactobacillus iwatensis	1267156	representative genome
GCF_900111145.1	Roseivirga pacifica	1267423	representative genome
GCF_003206715.1	Salinicola peritrichatus	1267424	representative genome
GCF_001008165.2	Altererythrobacter atlanticus	1267766	representative genome
GCF_002797755.1	Brevirhabdus pacifica	1267768	representative genome
GCF_003054175.1	Roseivivax pacificus	1267769	representative genome
GCF_013410525.1	Galbitalea soli	1268042	representative genome
GCF_010686705.1	Diaminobutyricibacter tongyongensis	1268043	representative genome
GCF_000312025.1	Peptoniphilus timonensis JC401	1268254	representative genome
GCF_003545715.1	Taibaiella koreensis	1268548	representative genome
GCF_003725795.1	Pedobacter jejuensis	1268550	representative genome
GCF_900101685.1	Alloactinosynnema iranicum	1271860	representative genome
GCF_001543305.1	Liberibacter crescens	1273132	representative genome
GCF_003814555.1	Vulcaniibacterium tengchongense	1273429	representative genome
GCF_010723575.1	Mycobacterium bourgelatii	1273442	representative genome
GCF_003586005.1	Inordinaticella fortuita	1274318	representative genome
GCF_900106015.1	Pseudomonas sihuiensis	1274359	representative genome
GCF_000455265.1	Paenibacillus antibioticophila	1274374	representative genome
GCF_001693385.1	Bradyrhizobium icense	1274631	representative genome
GCF_003605435.1	Paenibacillus pinisoli	1276110	representative genome
GCF_003709565.1	Paracoccus siganidrum	1276757	representative genome
GCF_001399455.2	Vibrio bivalvicida	1276888	representative genome
GCF_900458665.1	Staphylococcus petrasii subsp. petrasii	1276936	representative genome
GCF_004217135.1	Micromonospora violae	1278207	representative genome
GCF_003544815.1	Arcobacter suis CECT 7833	1278212	representative genome
GCF_004343355.1	Keratinibaculum paraultunense	1278232	representative genome
GCF_001853485.1	Flavobacterium spartansii	1278819	representative genome
GCF_000420385.1	Hippea alviniae EP5-r	1279027	representative genome
GCF_013409065.1	Spelaeicoccus albus	1280376	representative genome
GCF_000455485.1	Gorillibacterium massiliense	1280390	representative genome
GCF_000949295.1	Acidithrix ferrooxidans	1280514	representative genome
GCF_003014735.1	Saccharothrix carnea	1280637	representative genome
GCF_900172225.1	Ruegeria litorea R37	1280831	representative genome
GCF_900302455.1	Ruegeria mediterranea M17	1280832	representative genome
GCF_003003255.1	Pseudoruegeria haliotis	1280846	representative genome
GCF_900114415.1	Shimia haliotis	1280847	representative genome
GCF_000682675.1	Hyphomonas pacifica	1280941	representative genome
GCF_000682755.1	Hyphomonas beringensis	1280946	representative genome
GCF_000682695.1	Hyphomonas chukchiensis	1280947	representative genome
GCF_000682715.1	Hyphomonas atlantica	1280948	representative genome
GCF_004342885.1	Tepidibacillus fermentans	1281767	representative genome
GCF_003952265.1	Flaviflexus salsibiostraticola	1282737	representative genome
GCF_000527035.1	Tolumonas lignilytica	1283284	representative genome
GCF_000738435.1	Planktomarina temperata RCA23	1284658	representative genome
GCF_001592105.1	Desulfofarcimen intricatum	1285191	representative genome
GCF_001650715.1	Magnetospirillum marisnigri	1285242	representative genome
